epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,12485,1.3075,1.02707,1.27882,0.76475,0.69731,0.76664,0.44751,1.24841,1.03799,1.17711,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,12862.7,1.29245,1.00616,1.27116,0.73847,0.71153,0.76475,0.44437,1.25189,1.02336,1.17845,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,13237.4,1.29164,1.00429,1.26796,0.77135,0.69569,0.77028,0.45204,1.24555,1.05853,1.17522,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,13614.7,1.27566,0.98325,1.26112,0.7822,0.69655,0.77386,0.44998,1.24943,1.03241,1.18744,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,13997.2,1.26469,0.96339,1.2503,0.76675,0.70554,0.77481,0.45337,1.24532,1.07104,1.18433,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,14382.2,1.25554,0.94881,1.24346,0.76895,0.70848,0.77436,0.4526,1.24861,1.05132,1.18372,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,14755.5,1.24763,0.9403,1.23866,0.76542,0.71229,0.77882,0.45742,1.24019,1.04039,1.17833,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,15139.2,1.2399,0.91865,1.23089,0.77086,0.71112,0.77907,0.45732,1.24223,1.01741,1.18263,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,15527.6,1.22887,0.9074,1.2234,0.7904,0.70294,0.78209,0.45885,1.24655,1.02348,1.18311,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,15902.3,1.24156,0.84612,1.23641,0.77372,0.70933,0.77891,0.45726,1.24834,1.03202,1.18749,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,16276.6,1.21603,0.81391,1.21991,0.779,0.7056,0.77934,0.45644,1.24717,1.01977,1.19167,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,16645.4,1.21063,0.79592,1.21603,0.77049,0.71095,0.78003,0.4588,1.23543,1.00408,1.1845,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,17012.7,1.18783,0.77194,1.20254,0.78898,0.70343,0.77866,0.45717,1.24184,0.98491,1.18868,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,17378.7,1.17076,0.75957,1.19438,0.7921,0.7031,0.77831,0.45655,1.25358,1.0109,1.19701,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,17755.6,1.15749,0.73636,1.18031,0.79501,0.70264,0.78,0.45898,1.2511,0.97284,1.19643,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,18121.6,1.14097,0.71435,1.17368,0.79614,0.6999,0.78016,0.45926,1.24929,0.9562,1.19574,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,18499.3,1.13007,0.70549,1.16075,0.80222,0.69927,0.77925,0.4591,1.25543,0.95382,1.20085,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,18868.7,1.11847,0.69342,1.15555,0.80129,0.70103,0.7784,0.45773,1.26044,0.94961,1.20749,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,19237.5,1.11014,0.67518,1.14972,0.79418,0.7055,0.77855,0.45687,1.26203,0.9501,1.21083,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
